username,ip_score,time_score,device_score,frequency,geo_score,label
user433,0.32,0.92,0.78,5,0.07,0
user55,0.93,0.67,0.53,7,0.58,1
user8,0.43,0.0,0.53,4,0.5,0
user443,0.46,0.83,0.75,9,0.47,0
user395,0.95,0.08,0.68,5,0.41,0
user73,0.83,0.08,0.66,3,0.12,0
user145,0.61,0.33,1.0,10,0.06,0
user245,0.57,0.08,0.94,4,0.4,0
user129,0.96,0.08,0.59,7,0.43,0
user257,0.73,0.33,0.95,10,0.36,0
user64,0.94,0.92,0.77,9,0.55,1
user194,0.34,0.58,0.55,8,0.67,0
user253,0.61,0.83,0.24,5,0.56,0
user348,0.69,0.5,0.85,9,0.79,0
user429,0.7,0.33,0.94,10,0.71,0
user160,0.93,0.58,0.73,8,0.15,0
user122,0.93,0.92,0.82,5,0.32,0
user161,0.55,0.58,0.27,6,0.41,0
user444,0.42,0.75,0.79,8,0.49,0
user417,0.79,0.42,0.24,1,0.57,0
user473,0.47,0.42,0.51,6,0.24,0
user202,0.46,0.83,0.97,8,0.14,0
user329,0.73,0.83,0.89,9,0.4,0
user258,0.4,0.5,0.7,4,0.2,0
user398,0.92,0.92,0.96,10,0.11,0
user30,0.58,0.33,0.19,9,0.19,0
user303,0.56,0.25,0.87,2,0.24,0
user400,0.79,0.75,0.98,2,0.42,0
user197,0.76,0.08,0.87,4,0.45,0
user223,0.69,0.92,0.5,9,0.33,0
user47,0.71,0.25,0.86,8,0.67,0
user277,0.69,0.83,0.53,7,0.45,0
user490,0.36,0.08,0.56,6,0.55,0
user29,0.8,0.42,0.86,1,0.54,0
user162,0.89,0.5,0.9,2,0.19,0
user189,0.94,0.92,0.83,3,0.68,1
user493,0.86,0.75,0.96,2,0.66,1
user408,0.99,0.75,0.79,3,0.03,0
user59,0.72,0.5,0.61,3,0.52,0
user106,0.63,0.25,0.76,1,0.15,0
user430,0.62,0.75,0.55,7,0.92,1
user178,0.56,0.08,0.69,10,0.53,0
user100,0.91,0.25,0.08,3,0.22,0
user8,0.65,0.75,0.58,2,0.57,1
user424,0.4,0.5,0.62,1,0.68,0
user213,0.69,0.5,0.88,6,0.48,0
user256,0.73,0.58,0.77,9,0.31,0
user494,0.79,0.33,0.52,6,0.54,0
user247,0.58,0.08,0.95,5,0.35,0
user473,0.97,0.5,0.05,7,0.38,0
user379,0.38,1.0,0.08,2,0.2,0
user375,0.3,1.0,0.9,8,0.33,0
user467,0.83,0.92,0.82,3,0.21,0
user228,0.8,0.5,0.2,2,0.14,0
user223,0.93,0.25,0.96,9,0.42,0
user405,0.44,0.75,0.84,9,0.6,0
user31,0.61,0.42,0.98,1,0.41,0
user438,0.54,0.0,0.77,7,0.66,0
user453,0.59,0.75,0.89,8,0.19,0
user14,0.87,0.25,0.79,2,0.02,0
user352,0.94,0.67,0.82,5,0.08,0
user425,0.88,0.67,0.86,7,0.61,1
user312,0.87,0.92,0.65,2,0.09,0
user459,0.5,0.75,0.76,2,0.52,0
user169,0.65,0.92,0.67,3,0.65,1
user103,0.89,1.0,0.55,9,0.47,0
user280,0.61,0.08,0.93,4,0.64,0
user138,0.99,0.25,0.68,4,0.05,0
user123,0.64,0.33,0.41,1,0.17,0
user460,0.89,0.92,0.84,5,0.18,0
user259,0.89,0.92,0.62,4,0.2,0
user103,0.81,1.0,0.45,2,0.42,0
user369,0.58,0.5,0.84,5,0.26,0
user161,0.91,0.08,0.6,8,0.51,0
user466,0.74,0.5,0.86,9,0.17,0
user261,0.57,0.33,0.84,3,0.6,0
user386,0.37,0.5,0.67,9,0.07,0
user318,0.85,0.0,0.8,6,0.59,0
user345,0.83,0.83,0.64,3,0.36,0
user408,0.36,0.75,0.64,1,0.18,0
user358,0.66,0.67,0.58,2,0.28,0
user57,0.94,0.33,0.61,4,0.58,0
user310,0.69,1.0,0.39,7,0.06,0
user462,0.84,0.5,0.82,5,0.2,0
user76,0.57,0.83,0.69,3,0.1,0
user164,0.98,0.5,0.69,1,0.14,0
user199,0.61,0.58,0.89,3,0.33,0
user236,0.66,0.17,0.5,10,0.49,0
user337,0.45,0.58,0.96,3,0.37,0
user184,0.64,0.5,0.9,9,0.12,0
user275,0.41,0.83,0.96,8,0.27,0
user151,0.45,0.25,0.82,5,0.39,0
user261,0.73,0.08,0.7,6,0.35,0
user493,0.48,0.75,0.83,8,0.65,0
user360,0.68,0.0,0.91,2,0.91,0
user53,0.84,0.33,0.72,6,0.48,0
user237,0.52,0.92,0.56,7,0.56,0
user402,0.52,0.67,0.99,8,0.4,0
user468,0.81,0.58,0.21,6,0.6,0
user223,0.62,0.08,0.59,8,0.61,0
user148,0.74,0.83,0.89,10,0.08,0
user137,0.3,0.33,0.8,4,0.35,0
user392,0.57,0.33,0.75,3,0.37,0
user57,0.66,0.08,0.84,9,0.6,0
user329,0.61,0.83,0.58,6,0.36,0
user189,0.65,0.67,0.98,2,0.26,0
user348,0.55,0.75,0.92,9,0.2,0
user211,0.99,0.08,0.48,5,0.12,0
user116,0.44,0.75,0.51,6,0.69,0
user66,0.69,0.5,0.89,3,0.17,0
user367,0.47,0.0,0.54,9,0.3,0
user23,0.8,0.75,0.79,9,0.65,1
user133,0.44,0.33,0.84,10,0.13,0
user337,0.83,0.75,0.75,2,0.91,1
user8,0.98,0.42,0.57,9,0.53,0
user461,0.97,0.92,0.54,3,0.53,1
user411,0.88,0.92,0.6,2,0.08,0
user241,0.88,0.25,0.53,7,0.35,0
user280,0.85,0.33,0.4,8,0.36,0
user115,0.35,0.17,0.95,10,0.4,0
user193,0.56,0.83,0.47,9,0.63,0
user16,0.94,0.75,0.77,2,0.86,1
user56,0.98,0.92,0.59,3,0.41,0
user260,0.31,0.75,0.82,7,0.01,0
user116,0.88,0.33,0.83,4,0.05,0
user64,0.43,0.58,0.91,5,0.58,0
user167,0.67,0.92,0.44,8,0.74,0
user178,0.67,0.08,0.96,3,0.07,0
user355,0.46,0.83,0.79,10,0.53,0
user107,0.56,0.0,0.98,8,0.09,0
user210,0.37,0.42,0.99,2,0.57,0
user5,0.72,0.5,0.55,4,0.06,0
user280,0.47,0.58,0.53,7,0.48,0
user41,0.33,0.58,0.99,9,0.32,0
user414,0.8,0.25,0.05,5,0.24,0
user105,0.88,1.0,0.99,6,0.13,0
user383,0.33,0.83,0.92,2,0.46,0
user325,0.97,0.5,0.63,9,0.51,0
user131,0.34,0.17,0.65,4,0.12,0
user244,0.74,0.5,0.87,2,0.52,0
user465,0.85,0.92,0.85,8,0.42,0
user36,0.85,0.25,0.57,6,0.36,0
user428,0.75,0.33,0.83,3,0.08,0
user187,0.67,0.5,0.75,8,0.08,0
user136,0.82,0.83,0.86,10,0.41,0
user169,0.63,0.08,0.99,6,0.19,0
user204,0.69,0.42,0.07,2,0.66,0
user76,0.41,0.17,0.58,10,0.31,0
user363,0.57,0.83,0.34,2,0.05,0
user348,0.76,0.08,0.67,6,0.48,0
user72,0.56,0.08,0.81,4,0.67,0
user417,0.86,0.67,0.59,6,0.44,0
user200,0.6,1.0,0.92,2,0.4,0
user174,0.71,0.25,1.0,6,0.06,0
user208,0.91,0.25,0.68,10,0.1,0
user472,0.92,0.25,0.77,4,0.51,0
user452,0.95,0.42,0.85,5,0.62,0
user318,0.85,1.0,0.83,2,0.47,0
user80,1.0,0.5,0.26,1,0.48,0
user417,0.75,0.25,0.91,8,0.44,0
user77,0.85,0.67,0.33,6,0.46,0
user72,0.31,0.33,0.55,8,0.36,0
user217,0.36,0.0,0.62,6,0.62,0
user144,0.33,0.25,0.69,10,0.22,0
user500,0.48,0.75,0.67,7,0.12,0
user21,0.52,0.33,0.51,1,0.31,0
user252,0.81,0.58,0.95,9,0.13,0
user111,0.94,0.75,0.79,1,0.59,1
user156,0.55,0.58,0.69,5,0.19,0
user264,0.58,0.42,0.09,6,0.67,0
user66,0.68,0.75,0.59,5,0.51,1
user188,0.31,0.75,0.8,4,0.79,0
user175,0.56,0.5,0.82,2,0.02,0
user468,0.89,0.92,0.55,2,0.08,0
user353,0.69,1.0,0.73,5,0.27,0
user171,0.36,0.0,0.89,4,0.89,0
user67,0.6,0.83,0.48,1,0.3,0
user464,0.3,0.75,0.21,2,0.6,0
user239,0.83,0.25,0.62,2,0.55,0
user384,0.6,1.0,0.51,10,0.19,0
user359,0.59,0.5,0.96,5,0.62,0
user86,0.62,0.33,0.75,10,0.32,0
user51,0.77,0.25,0.35,7,0.42,0
user347,0.95,0.33,0.11,4,0.45,0
user437,0.59,0.5,0.87,6,0.56,0
user494,0.47,0.42,0.39,4,0.4,0
user115,0.32,0.83,0.87,2,0.65,0
user274,0.8,0.83,0.72,7,0.29,0
user37,0.4,0.75,0.98,3,0.95,0
user396,0.96,0.42,0.89,6,0.66,0
user33,0.47,0.83,0.87,1,0.42,0
user224,0.82,0.58,0.56,4,0.1,0
user444,0.91,0.75,0.94,9,0.03,0
user2,0.49,0.08,0.69,10,0.52,0
user95,0.63,0.0,0.96,2,0.34,0
user58,0.99,0.42,0.61,1,0.25,0
user300,0.46,0.33,0.78,4,0.62,0
user207,0.55,0.0,0.24,8,0.01,0
user170,0.79,0.67,0.58,9,0.34,0
user97,0.48,1.0,0.5,8,0.0,0
user491,0.82,0.67,0.63,10,0.25,0
user393,0.33,0.08,0.57,3,0.07,0
user405,0.66,0.58,0.76,6,0.31,0
user279,0.73,0.5,0.91,3,0.15,0
user138,0.89,0.25,0.14,10,0.74,0
user123,0.96,0.08,0.87,8,0.0,0
user383,0.86,0.08,0.88,10,0.13,0
user249,0.36,0.92,0.32,9,0.6,0
user317,0.75,0.83,0.63,5,0.45,0
user393,0.38,0.08,0.94,8,0.53,0
user379,0.79,0.67,0.83,7,0.7,1
user315,0.94,0.5,0.72,1,0.56,0
user405,0.58,0.5,0.88,2,0.54,0
user449,0.47,0.17,0.55,9,0.96,0
user177,0.54,0.83,0.53,1,0.28,0
user209,0.59,0.83,0.99,10,0.66,0
user179,0.92,0.33,0.87,1,0.39,0
user53,0.96,0.33,0.24,8,0.42,0
user88,0.68,0.08,0.8,1,0.38,0
user36,0.93,0.92,0.07,10,0.68,0
user403,0.75,0.75,0.54,1,0.59,1
user442,0.51,0.92,0.92,6,0.19,0
user262,0.61,0.83,0.86,10,0.4,0
user412,0.65,0.92,0.86,4,0.46,0
user19,0.99,0.83,0.9,10,0.37,0
user242,0.88,0.5,0.51,1,0.35,0
user326,0.58,0.0,0.9,4,0.44,0
user198,0.81,0.33,0.82,6,0.52,0
user237,0.64,0.83,0.71,10,0.97,1
user195,0.83,0.67,0.98,9,0.54,1
user391,0.75,0.5,0.58,3,0.61,0
user429,0.45,0.92,0.82,4,0.57,0
user469,0.53,0.83,0.58,2,0.64,0
user322,0.75,0.92,0.91,10,0.41,0
user465,0.88,0.67,0.69,9,0.12,0
user227,0.73,0.92,0.22,8,0.95,0
user463,0.58,0.5,0.78,8,0.58,0
user1,0.55,0.08,0.95,10,0.65,0
user134,0.5,0.83,0.15,2,0.45,0
user465,0.36,0.83,0.53,3,0.6,0
user1,0.34,0.08,0.53,1,0.81,0
user270,0.97,0.58,0.91,9,0.49,0
user240,0.59,0.5,0.17,5,0.55,0
user431,0.9,0.25,0.64,3,0.19,0
user296,0.57,0.92,0.55,5,0.14,0
user458,0.67,0.5,0.88,1,0.01,0
user438,0.57,0.58,0.87,2,0.69,0
user299,0.79,0.25,0.81,4,0.56,0
user478,0.64,0.75,0.77,9,0.3,0
user5,0.6,0.08,0.57,3,0.56,0
user160,0.47,0.42,0.28,10,0.46,0
user15,0.83,0.67,0.6,5,0.61,1
user204,0.47,0.17,0.41,5,0.55,0
user221,0.77,0.58,0.64,8,0.58,0
user92,0.6,0.83,0.85,6,0.13,0
user91,0.66,0.42,0.65,6,0.54,0
user185,0.63,0.25,0.73,5,0.03,0
user52,0.51,0.17,0.6,7,0.05,0
user483,0.71,0.92,0.56,1,0.25,0
user253,0.73,0.58,0.86,6,0.31,0
user332,0.46,0.83,0.95,2,0.62,0
user289,0.39,0.25,0.65,6,0.1,0
user367,0.4,0.0,0.67,3,0.21,0
user103,0.36,0.17,0.73,9,0.41,0
user335,0.68,0.33,0.84,10,0.29,0
user390,0.55,0.25,0.83,5,0.15,0
user356,0.44,0.25,0.94,8,0.61,0
user391,0.88,0.92,0.53,5,0.35,0
user290,0.5,0.5,0.89,8,0.57,0
user314,0.72,0.17,0.81,5,0.44,0
user345,0.86,0.92,0.6,4,0.69,1
user180,0.59,0.33,0.79,6,0.51,0
user383,0.41,0.17,0.97,8,0.02,0
user156,0.53,0.58,0.83,9,0.67,0
user460,0.4,0.5,0.75,2,0.52,0
user101,0.31,0.08,0.66,6,0.49,0
user456,0.98,0.75,0.56,6,0.43,0
user469,0.99,0.67,0.68,3,0.39,0
user359,0.68,0.5,0.12,7,0.4,0
user494,0.34,0.83,0.8,5,0.01,0
user187,0.42,0.5,0.76,3,0.19,0
user218,0.91,0.58,0.62,9,0.33,0
user351,0.98,0.08,0.61,5,0.23,0
user403,0.97,0.42,0.06,10,0.49,0
user358,0.41,0.83,0.74,9,0.58,0
user108,0.4,0.75,0.7,6,0.55,0
user155,0.98,0.17,0.66,5,0.22,0
user441,0.58,0.33,0.69,4,0.24,0
user333,0.68,0.83,0.81,2,0.5,0
user200,0.48,0.5,0.8,9,0.66,0
user336,0.71,0.17,0.24,6,0.56,0
user489,0.99,0.75,0.97,5,0.62,1
user447,0.86,0.17,0.58,2,0.06,0
user233,0.58,0.25,0.8,2,0.01,0
user186,0.82,0.92,0.84,6,0.82,1
user144,0.33,0.08,0.85,8,0.17,0
user66,0.99,0.33,0.66,5,0.45,0
user40,0.84,0.42,0.88,6,0.13,0
user191,0.84,0.75,0.93,3,0.22,0
user201,0.63,0.08,0.81,4,0.59,0
user139,0.87,0.67,0.66,2,0.3,0
user224,0.73,0.67,0.52,9,0.29,0
user314,0.57,0.67,0.71,3,0.88,0
user450,0.51,0.17,0.64,3,0.1,0
user35,0.87,0.42,0.93,10,0.48,0
user212,0.4,0.33,0.67,8,0.03,0
user439,0.6,0.17,0.89,3,0.46,0
user428,0.8,0.33,0.85,1,0.19,0
user168,0.68,0.83,0.58,5,0.01,0
user47,0.99,0.92,0.87,6,0.69,1
user345,0.78,0.33,0.77,6,0.28,0
user400,0.4,0.5,0.83,6,0.21,0
user168,0.32,0.92,0.83,3,0.99,0
user148,0.88,0.17,0.73,3,0.03,0
user123,0.88,0.83,0.51,10,0.54,1
user161,0.57,0.33,0.86,6,0.56,0
user253,0.56,0.92,0.75,2,0.19,0
user280,0.31,0.25,0.64,5,0.21,0
user419,0.92,0.33,0.74,2,0.2,0
user488,0.97,0.83,0.83,9,0.11,0
user18,0.91,0.17,0.91,7,0.57,0
user50,0.43,0.83,0.58,3,0.06,0
user48,0.61,0.42,0.54,1,0.31,0
user75,0.31,0.83,0.05,8,0.76,0
user396,0.44,0.92,0.68,6,0.57,0
user117,0.33,0.25,0.99,8,0.54,0
user129,0.88,0.67,0.88,3,0.06,0
user218,0.77,0.0,0.52,10,0.22,0
user106,0.31,0.33,0.82,9,0.62,0
user379,0.92,0.92,0.93,4,0.58,1
user290,0.72,0.08,0.42,3,0.56,0
user329,0.7,0.17,0.76,8,0.29,0
user96,0.99,0.58,0.54,1,0.12,0
user240,0.6,0.33,0.51,2,0.44,0
user277,0.82,0.42,0.56,4,0.14,0
user315,0.89,0.67,0.49,9,0.22,0
user99,0.76,0.08,0.75,3,0.22,0
user178,0.6,0.75,0.39,6,0.86,0
user265,0.67,0.17,0.83,7,0.29,0
user257,0.37,0.58,0.61,8,0.44,0
user174,0.94,0.42,0.73,5,0.5,0
user89,0.33,0.58,0.96,4,0.49,0
user137,0.91,0.42,0.57,2,0.56,0
user390,0.61,0.83,0.74,8,0.64,1
user42,0.74,0.5,0.99,4,0.5,0
user395,0.33,0.42,0.94,10,0.63,0
user413,0.77,0.58,0.59,9,0.03,0
user290,0.42,0.67,0.68,7,0.38,0
user53,0.79,0.0,0.61,8,0.66,0
user26,0.95,1.0,0.72,4,0.08,0
user183,0.76,0.25,0.84,1,0.65,0
user371,0.84,0.25,0.52,4,0.47,0
user161,0.84,0.42,0.67,6,0.91,0
user66,0.55,0.5,0.71,7,0.73,0
user159,0.87,0.17,0.37,2,0.52,0
user372,0.67,0.42,0.36,3,0.01,0
user376,0.55,0.67,0.73,7,0.2,0
user83,0.76,0.67,0.89,4,0.21,0
user281,0.37,0.92,0.54,7,0.7,0
user264,0.7,0.42,0.65,3,0.42,0
user398,0.85,0.42,0.88,2,0.41,0
user148,0.87,0.42,0.84,8,0.0,0
user386,0.72,0.75,0.74,6,0.28,0
user461,0.83,0.5,0.86,9,0.4,0
user389,0.69,0.75,0.61,4,0.05,0
user142,0.66,0.67,0.81,5,0.64,1
user235,0.89,0.33,0.66,10,0.32,0
user20,0.92,0.0,0.29,6,0.44,0
user311,0.41,0.33,0.99,6,0.11,0
user463,0.55,0.08,0.94,10,0.16,0
user342,0.61,0.25,0.64,2,0.69,0
user358,0.41,0.42,0.85,7,0.63,0
user430,0.91,0.25,0.84,8,0.14,0
user171,0.95,0.75,0.89,9,0.33,0
user197,0.74,0.58,0.44,1,0.52,0
user250,0.7,1.0,0.5,3,0.09,0
user120,0.79,0.58,0.69,4,0.28,0
user261,0.7,0.08,0.44,7,0.61,0
user123,0.36,0.42,0.69,7,0.04,0
user195,0.38,0.42,0.07,2,0.44,0
user70,0.51,0.17,0.87,9,0.02,0
user435,0.98,0.33,0.77,7,0.35,0
user446,0.37,0.67,0.47,2,0.47,0
user248,0.74,0.5,0.85,7,0.03,0
user109,0.65,0.67,0.86,6,0.54,1
user461,0.64,0.75,0.88,6,0.01,0
user96,0.56,0.17,0.69,2,0.11,0
user496,0.77,0.17,0.54,7,0.41,0
user321,0.93,0.83,0.06,5,0.65,0
user435,0.35,0.92,0.94,1,0.28,0
user23,0.78,0.17,0.92,7,0.48,0
user67,0.64,0.33,0.74,1,0.16,0
user256,0.44,1.0,0.61,4,0.16,0
user444,0.5,0.5,0.79,10,0.14,0
user343,0.67,0.83,0.74,3,0.57,1
user5,0.38,0.83,0.77,9,0.32,0
user361,0.47,0.0,0.97,9,0.19,0
user17,0.88,0.25,0.97,7,0.63,0
user123,0.84,0.67,0.8,1,0.16,0
user50,0.38,0.58,0.57,9,0.54,0
user404,0.53,0.5,0.77,4,0.63,0
user474,0.53,0.67,0.52,9,0.64,0
user365,0.32,0.25,0.74,7,0.65,0
user343,0.54,0.42,0.8,10,0.67,0
user167,0.81,0.83,0.69,6,0.52,1
user232,0.37,0.25,0.46,5,0.72,0
user403,0.77,0.75,0.99,10,0.63,1
user465,0.78,0.33,0.9,1,0.62,0
user52,0.42,0.5,0.86,7,0.67,0
user412,0.41,0.17,0.55,2,0.27,0
user379,0.36,0.08,0.77,1,0.18,0
user448,0.67,0.17,0.71,4,0.5,0
user65,0.72,0.25,0.67,1,0.51,0
user197,0.98,0.92,0.88,5,0.07,0
user302,0.62,0.5,0.6,9,0.9,0
user356,0.86,0.75,0.66,8,0.61,1
user469,0.71,1.0,0.8,8,0.06,0
user16,0.72,0.17,0.69,1,0.05,0
user168,0.62,0.42,0.91,10,0.01,0
user9,0.5,0.75,0.6,8,0.05,0
user328,0.84,0.42,0.98,6,0.02,0
user188,0.86,0.75,0.16,7,0.14,0
user156,0.95,1.0,0.63,8,0.06,0
user260,0.84,0.92,0.04,1,0.65,0
user37,0.54,0.58,0.73,10,0.38,0
user19,0.91,0.92,0.78,4,0.09,0
user7,0.69,0.08,0.94,5,0.89,0
user450,0.31,0.58,0.77,9,0.41,0
user51,0.73,0.92,0.67,2,0.05,0
user134,0.64,0.58,0.56,9,0.86,0
user268,0.32,0.25,0.68,6,0.57,0
user401,0.45,0.33,0.54,8,0.36,0
user382,0.64,0.5,0.84,8,0.48,0
user395,0.74,0.67,0.82,7,0.22,0
user109,0.4,0.08,0.6,1,0.49,0
user210,0.7,0.83,0.25,7,0.3,0
user442,0.56,0.33,0.63,2,0.54,0
user106,0.82,0.67,0.78,2,0.3,0
user27,0.85,0.5,0.71,2,0.56,0
user340,0.93,0.5,0.77,6,0.31,0
user144,0.46,0.08,0.97,2,0.51,0
user83,0.43,0.58,0.89,8,0.28,0
user211,0.88,0.83,0.57,3,0.64,1
